id,S,L,pred,herb,mutu,para,foodweb,other
3259,20,60,41,19,0,0,60,0
26,24,34,25,7,0,0,32,2
28,18,38,28,8,0,0,36,2
947,19,58,45,13,0,0,58,0
1262,26,60,14,44,0,0,58,2
1261,13,17,4,13,0,0,17,0
1219,56,267,168,95,0,0,263,4
1237,45,212,140,72,0,0,212,0
1218,53,183,83,97,0,0,180,3
1235,40,98,60,33,0,0,93,5
1236,44,165,104,56,0,0,160,5
1221,30,121,86,29,0,0,115,6
1251,30,71,22,48,0,0,70,1
1252,50,273,190,78,0,0,268,5
1253,42,179,107,69,0,0,176,3
1250,33,138,68,69,0,0,137,1
1217,50,261,136,118,0,0,254,7
1256,44,225,136,85,0,0,221,4
1257,29,82,52,26,0,0,78,4
1220,61,328,209,115,0,0,324,4
1233,32,122,64,53,0,0,117,5
1234,22,57,28,27,0,0,55,2
1259,41,169,77,92,0,0,169,0
1248,52,247,141,101,0,0,242,5
1260,53,281,172,104,0,0,276,5
1225,35,118,66,49,0,0,115,3
1264,32,136,99,22,0,0,121,15
1265,27,42,17,24,0,0,41,1
1254,22,43,13,29,0,0,42,1
1255,24,61,32,27,0,0,59,2
1242,49,255,177,73,0,0,250,5
1243,35,102,35,67,0,0,102,0
1231,22,58,34,24,0,0,58,0
1232,39,152,63,87,0,0,150,2
1246,31,148,81,64,0,0,145,3
1247,41,137,62,74,0,0,136,1
1227,54,416,325,84,0,0,409,7
1249,37,161,103,54,0,0,157,4
1263,31,83,37,44,0,0,81,2
1238,16,25,10,15,0,0,25,0
1239,41,169,93,72,0,0,165,4
1230,19,28,10,16,0,0,26,2
1245,35,118,74,40,0,0,114,4
1222,75,553,335,216,0,0,551,2
1229,32,61,29,31,0,0,60,1
1244,65,417,295,112,0,0,407,10
1224,41,153,55,96,0,0,151,2
1228,65,418,246,166,0,0,412,6
1258,22,36,2,34,0,0,36,0
1226,36,83,48,33,0,0,81,2
1240,24,87,54,32,0,0,86,1
1223,15,19,10,9,0,0,19,0
1216,56,220,156,58,0,0,214,6
1241,72,571,407,159,0,0,566,5
80,15,31,26,0,0,0,26,5
81,12,20,16,3,0,0,19,1
82,10,21,17,3,0,0,20,1
83,24,42,34,0,0,0,34,8
84,12,30,19,6,0,0,25,5
85,29,58,46,4,0,0,50,8
86,26,189,163,5,0,0,168,21
87,30,229,205,13,0,0,218,11
88,46,131,126,5,0,0,131,0
89,18,85,57,13,0,0,70,15
930,25,44,36,7,0,0,43,1
91,44,413,388,10,0,0,398,15
92,29,203,195,8,0,0,203,0
93,25,50,29,14,0,0,43,7
94,21,41,26,9,0,0,35,6
96,16,61,61,0,0,0,61,0
97,48,221,176,27,0,0,203,18
98,14,23,20,3,0,0,23,0
99,9,15,11,4,0,0,15,0
100,14,32,30,2,0,0,32,0
101,9,18,10,0,0,0,10,8
102,29,65,64,1,0,0,65,0
103,19,52,46,6,0,0,52,0
1280,14,83,83,0,0,0,83,0
1575,81,288,47,205,0,0,252,36
1574,69,154,33,91,0,0,124,30
1580,49,108,26,63,0,0,89,19
1571,72,224,47,141,0,0,188,36
1577,70,181,37,116,0,0,153,28
2472,78,1283,1215,36,0,0,1251,32
2474,78,1328,1260,36,0,0,1296,32
2463,50,269,165,104,0,0,269,0
2464,50,246,123,123,0,0,246,0
3258,61,203,111,86,0,0,197,6
2473,78,1328,1262,36,0,0,1298,30
2471,78,1302,1236,36,0,0,1272,30
922,35,96,66,8,0,0,74,22
1021,22,35,31,2,0,0,33,2
924,15,26,22,4,0,0,26,0
1102,23,141,135,6,0,0,141,0
889,20,60,53,4,0,0,57,3
890,14,25,25,0,0,0,25,0
1268,34,156,111,19,0,0,130,26
893,78,607,510,62,0,35,572,0
1089,21,50,13,13,0,0,26,24
1090,21,50,12,14,0,0,26,24
1091,23,46,14,10,0,0,24,22
1098,49,139,55,24,0,0,79,60
1099,52,149,60,27,0,0,87,62
1100,51,143,56,27,0,0,83,60
907,14,52,30,12,0,0,42,10
906,14,51,29,12,0,0,41,10
1281,15,26,17,6,0,0,23,3
1282,14,28,19,6,0,0,25,3
1068,21,67,43,9,0,0,52,15
1115,26,70,41,29,0,0,70,0
1065,33,182,145,12,0,0,157,25
1066,26,103,74,11,0,0,85,18
1064,38,242,197,15,0,0,212,30
1069,22,83,60,8,0,0,68,15
1067,27,132,99,13,0,0,112,20
1484,29,49,18,27,0,0,45,4
1101,28,127,110,8,0,0,118,9
1103,28,218,208,8,0,0,216,2
1114,26,41,20,6,0,0,26,15
1112,25,45,12,15,0,0,27,18
1284,21,89,74,12,0,0,86,3
1440,15,38,22,7,0,0,29,9
1441,7,12,6,3,0,0,9,3
1439,13,26,10,7,0,0,17,9
1442,8,14,7,3,0,0,10,4
1443,19,22,22,0,0,0,22,0
1444,40,185,118,31,0,0,149,36
1447,32,139,86,21,0,0,107,32
1446,33,141,88,21,0,0,109,32
1448,13,34,14,10,0,0,24,10
1449,20,44,31,0,0,0,31,13
1452,12,26,16,0,0,0,16,10
1450,19,55,42,0,0,0,42,13
1454,31,131,95,36,0,0,131,0
1456,47,157,69,88,0,0,157,0
1457,57,178,93,85,0,0,178,0
1455,17,33,24,9,0,0,33,0
1458,21,62,49,7,0,0,56,6
1459,15,43,33,9,0,1,42,0
1461,46,127,93,0,0,0,93,34
1462,30,229,183,34,0,0,217,12
1463,13,34,30,2,0,0,32,2
1464,15,42,25,9,0,0,34,8
1467,42,103,52,34,0,0,86,17
1466,39,106,75,26,0,0,101,5
1465,37,77,36,22,0,0,58,19
1468,8,25,20,5,0,0,25,0
1469,6,7,7,0,0,0,7,0
1470,24,91,69,0,0,0,69,22
1471,27,47,30,0,0,0,30,17
1473,16,50,33,9,0,0,42,8
1474,56,178,136,38,0,0,174,4
1475,16,42,16,26,0,0,42,0
1476,28,69,47,8,0,0,55,14
1478,8,11,6,2,0,0,8,3
1480,14,30,23,4,0,0,27,3
1479,13,27,19,4,0,0,23,4
1477,5,7,4,0,0,0,4,3
1481,24,94,69,11,0,0,80,14
1482,16,31,21,0,0,2,21,8
