id,S,L,pred,herb,mutu,para
19,1500,15255,0,0,15255,0
12,115,184,0,0,0,0
13,54,92,0,0,0,0
18,29,38,0,0,38,0
15,317,1121,0,0,1121,0
3259,20,60,41,19,0,0
908,43,63,0,0,63,0
23,19,20,0,0,20,0
909,142,242,0,0,242,0
946,107,456,0,0,0,0
26,24,34,25,7,0,0
27,114,167,0,0,167,0
28,18,38,28,8,0,0
947,19,58,45,13,0,0
1262,26,60,14,44,0,0
1261,13,17,4,13,0,0
1219,56,267,168,95,0,0
1237,45,212,140,72,0,0
1218,53,183,83,97,0,0
1235,40,98,60,33,0,0
1236,44,165,104,56,0,0
1221,30,121,86,29,0,0
1251,30,71,22,48,0,0
1252,50,273,190,78,0,0
1253,42,179,107,69,0,0
1250,33,138,68,69,0,0
1217,50,261,136,118,0,0
1256,44,225,136,85,0,0
1257,29,82,52,26,0,0
1220,61,328,209,115,0,0
1233,32,122,64,53,0,0
1234,22,57,28,27,0,0
1259,41,169,77,92,0,0
1248,52,247,141,101,0,0
1260,53,281,172,104,0,0
1225,35,118,66,49,0,0
1264,32,136,99,22,0,0
1265,27,42,17,24,0,0
1254,22,43,13,29,0,0
1255,24,61,32,27,0,0
1242,49,255,177,73,0,0
1243,35,102,35,67,0,0
1231,22,58,34,24,0,0
1232,39,152,63,87,0,0
1246,31,148,81,64,0,0
1247,41,137,62,74,0,0
1227,54,416,325,84,0,0
1249,37,161,103,54,0,0
1263,31,83,37,44,0,0
1238,16,25,10,15,0,0
1239,41,169,93,72,0,0
1230,19,28,10,16,0,0
1245,35,118,74,40,0,0
1222,75,553,335,216,0,0
1229,32,61,29,31,0,0
1244,65,417,295,112,0,0
1224,41,153,55,96,0,0
1228,65,418,246,166,0,0
1258,22,36,2,34,0,0
1226,36,83,48,33,0,0
1240,24,87,54,32,0,0
1223,15,19,10,9,0,0
1216,56,220,156,58,0,0
1241,72,571,407,159,0,0
80,15,31,26,0,0,0
81,12,20,16,3,0,0
82,10,21,17,3,0,0
83,24,42,34,0,0,0
84,12,30,19,6,0,0
85,29,58,46,4,0,0
86,26,189,163,5,0,0
87,30,229,205,13,0,0
88,46,131,126,5,0,0
89,18,85,57,13,0,0
930,25,44,36,7,0,0
91,44,413,388,10,0,0
92,29,203,195,8,0,0
93,25,50,29,14,0,0
94,21,41,26,9,0,0
95,15,27,10,1,0,0
96,16,61,61,0,0,0
97,48,221,176,27,0,0
98,14,23,20,3,0,0
99,9,15,11,4,0,0
100,14,32,30,2,0,0
101,9,18,10,0,0,0
102,29,65,64,1,0,0
103,19,52,46,6,0,0
1280,14,83,83,0,0,0
2462,393,589,0,0,589,0
1575,81,288,47,205,0,0
1574,69,154,33,91,0,0
1580,49,108,26,63,0,0
1571,72,224,47,141,0,0
1577,70,181,37,116,0,0
2472,78,1283,1215,36,0,0
2474,78,1328,1260,36,0,0
2463,50,269,165,104,0,0
2464,50,246,123,123,0,0
4230,4,3,0,0,0,3
4231,4,3,0,0,0,3
4232,7,6,0,0,0,6
4233,2,1,0,0,0,1
4234,4,3,0,0,0,3
4235,6,7,0,0,0,7
4236,5,4,0,0,0,4
4237,9,7,0,0,0,7
4238,5,4,0,0,0,4
4239,3,2,0,0,0,2
4240,4,3,0,0,0,3
4241,11,11,0,0,0,11
4242,7,6,0,0,0,6
4243,16,14,0,0,0,14
4244,12,11,0,0,0,11
4245,17,18,0,0,0,18
4246,13,14,0,0,0,14
4247,9,9,0,0,0,9
4248,10,8,0,0,0,8
4249,16,19,0,0,0,19
4250,18,20,0,0,0,20
4251,4,3,0,0,0,3
4252,5,5,0,0,0,5
4253,3,2,0,0,0,2
4254,6,5,0,0,0,5
4255,3,2,0,0,0,2
4256,4,3,0,0,0,3
4257,3,2,0,0,0,2
4258,7,6,0,0,0,6
4259,19,25,0,0,0,25
4260,6,5,0,0,0,5
4261,7,7,0,0,0,7
4262,5,4,0,0,0,4
4263,9,7,0,0,0,7
