id,S,L,pred,herb,mutu,para,foodweb,other
12,115,184,0,0,0,0,0,184
13,54,92,0,0,0,0,0,92
946,107,456,0,0,0,0,0,456
95,15,27,10,1,0,0,11,16
1092,27,56,18,8,0,0,26,30
1093,25,52,15,9,0,0,24,28
1094,28,61,19,10,0,0,29,32
1095,32,73,29,6,0,0,35,38
1096,31,71,23,8,0,0,31,40
1097,27,62,16,8,0,0,24,38
943,12,16,0,0,0,0,0,16
942,19,45,0,0,0,0,0,45
927,11,27,0,0,0,0,0,27
926,13,34,0,0,0,0,0,34
1104,35,107,0,0,0,0,0,107
1108,19,44,0,0,0,0,0,44
1105,29,124,0,0,0,0,0,124
1107,25,60,0,0,0,0,0,60
1106,37,175,0,0,0,0,0,175
918,29,97,0,0,0,0,0,97
920,28,100,0,0,0,0,0,100
921,26,88,0,0,0,0,0,88
919,28,98,0,0,0,0,0,98
931,26,110,0,0,0,0,0,110
1113,22,34,6,9,0,0,15,19
1451,9,15,7,0,0,0,7,8
1453,6,10,4,0,0,0,4,6
1460,20,19,0,0,0,0,0,19
1499,28,37,15,0,0,0,15,22
1502,7,11,0,5,0,0,5,6
1547,6,5,0,0,0,0,0,5
1544,18,23,8,0,0,0,8,15
1545,8,9,4,0,0,0,4,5
1583,35,110,1,51,0,0,52,58
1584,32,106,0,51,0,0,51,55
1585,31,102,0,49,0,0,49,53
1586,37,120,3,56,0,0,59,61
1587,31,100,0,50,0,0,50,50
1588,32,102,0,48,0,0,48,54
