i,j
1,2
4,2
1,3
4,3
1,5
4,5
7,5
8,5
9,5
10,5
11,5
1,6
4,6
7,6
8,6
9,6
10,6
11,6
7,13
8,13
9,13
12,13
1,14
4,14
16,14
1,15
4,15
16,15
1,18
4,18
7,18
8,18
10,18
16,18
17,18
19,18
20,18
21,18
1,22
4,22
7,22
8,22
9,22
10,22
11,22
12,22
16,22
17,22
19,22
20,22
21,22
1,23
4,23
7,23
8,23
9,23
11,23
16,23
17,23
19,23
20,23
21,23
4,24
19,24
1,25
4,25
7,25
8,25
9,25
10,25
12,25
19,25
20,25
21,25
4,26
7,26
8,26
9,26
10,26
11,26
19,26
20,26
21,26
4,27
8,27
11,27
12,27
1,28
4,28
7,28
8,28
9,28
10,28
11,28
12,28
19,28
20,28
21,28
