i,j
33,1
1,2
27,2
33,2
10,3
32,3
33,3
1,4
3,4
5,4
6,4
27,4
10,5
32,5
33,5
10,6
32,6
33,6
1,7
27,7
33,7
3,8
5,8
6,8
9,8
20,8
28,9
33,9
34,10
10,11
24,11
25,11
26,11
30,11
32,11
35,11
2,12
7,12
11,12
14,12
15,12
16,12
17,12
18,12
19,12
24,12
25,12
2,13
7,13
11,13
14,13
15,13
16,13
17,13
18,13
19,13
24,13
25,13
10,14
24,14
25,14
26,14
30,14
32,14
35,14
1,15
27,15
28,15
31,15
33,15
1,16
27,16
28,16
31,16
33,16
1,17
27,17
33,17
1,18
27,18
33,18
1,19
27,19
33,20
10,21
32,21
33,21
21,22
23,22
29,23
33,23
10,24
32,24
34,24
10,25
32,25
34,25
10,26
30,26
32,26
33,27
31,28
33,28
10,31
32,31
34,32
35,33
