i,j
1,2
3,4
5,6
7,6
8,6
9,6
10,6
11,6
8,12
9,12
10,12
5,14
7,14
8,14
10,14
13,14
18,14
22,14
25,14
26,14
27,14
28,14
29,14
37,14
9,16
15,16
27,16
5,17
7,17
8,17
9,17
10,17
13,17
15,17
18,17
19,17
22,17
26,17
27,17
31,17
32,17
33,17
37,17
9,20
10,20
19,20
21,20
22,20
23,20
24,20
25,20
1,30
5,30
7,30
9,30
13,30
18,30
21,30
24,30
26,30
27,30
28,30
31,30
32,30
33,30
34,30
35,30
5,36
7,36
10,36
11,36
13,36
15,36
19,36
21,36
22,36
23,36
24,36
32,36
33,36
34,36
37,36
38,36
5,39
7,39
10,39
15,39
22,39
24,39
26,39
27,39
28,39
31,39
32,39
33,39
34,39
37,39
38,39
40,39
5,41
8,41
13,41
7,42
8,42
13,42
25,42
33,42
5,43
7,43
9,43
23,43
31,43
1,44
5,44
7,44
19,44
32,44
7,45
8,45
37,45
23,46
24,46
25,46
37,46
8,47
13,47
18,47
19,47
22,47
3,48
7,48
19,48
31,48
8,49
19,49
22,49
37,49
15,50
31,50
38,50
51,50
3,52
19,52
25,52
31,52
8,53
9,53
13,53
28,53
5,54
7,54
13,54
18,54
19,54
21,54
26,54
28,54
32,54
33,54
1,55
3,55
25,55
31,55
18,56
27,56
32,56
37,56
5,57
11,57
18,57
38,57
3,58
15,58
37,58
13,59
15,59
21,59
7,60
13,60
18,60
5,61
13,61
33,61
1,62
5,62
32,62
5,63
22,63
8,64
13,64
15,65
27,65
19,66
34,66
5,67
18,67
18,68
19,68
3,69
24,69
11,70
29,70
37,71
51,71
8,72
13,72
7,73
37,73
5,74
18,74
21,75
31,75
31,76
34,77
5,78
19,78
7,79
18,79
23,80
38,80
13,81
15,82
24,83
7,84
18,85
15,86
5,87
8,87
25,87
11,88
29,88
5,89
13,89
8,90
23,90
28,90
37,90
38,90
51,90
5,91
23,91
40,91
5,92
7,92
13,92
31,93
10,94
18,94
28,94
29,94
