i,j
1,2
5,2
18,2
24,2
26,2
1,4
3,4
5,4
18,4
21,4
22,4
23,4
24,4
25,4
26,4
1,6
3,6
5,6
18,6
21,6
22,6
24,6
25,6
26,6
1,7
3,7
5,7
18,7
21,7
22,7
24,7
1,8
3,8
5,8
18,8
21,8
22,8
23,8
24,8
26,8
1,9
5,9
18,9
21,9
22,9
24,9
25,9
1,10
5,10
18,10
21,10
22,10
24,10
25,10
1,11
3,11
5,11
18,11
22,11
24,11
25,11
26,11
3,12
5,12
18,12
21,12
24,12
25,12
26,12
1,13
5,13
18,13
23,13
24,13
25,13
26,13
5,14
18,14
21,14
22,14
25,14
1,15
3,15
5,15
18,15
21,15
25,15
26,15
1,16
3,16
5,16
18,16
21,16
22,16
25,16
26,16
1,17
3,17
5,17
18,17
22,17
23,17
24,17
25,17
26,17
18,19
21,19
1,20
3,20
18,20
