i,j
1,2
6,2
7,2
10,2
3,4
5,4
11,4
13,4
44,4
72,4
114,4
8,9
10,9
11,9
12,9
13,14
15,14
5,17
16,17
18,17
19,17
20,21
22,21
23,21
24,21
25,26
20,27
22,27
23,27
20,28
20,29
5,30
6,30
8,30
11,30
16,30
18,30
22,30
24,30
31,30
32,30
33,30
34,30
35,30
36,30
37,30
38,30
39,30
40,30
41,30
42,30
43,30
44,30
45,30
46,30
47,30
48,30
49,30
50,30
51,30
52,30
53,30
54,30
55,30
56,30
57,30
58,30
59,30
60,30
61,30
62,30
63,30
5,64
36,64
45,64
61,64
65,64
47,66
12,68
20,68
67,68
69,68
23,71
34,71
70,71
72,71
73,71
10,74
16,74
20,74
23,74
43,74
75,74
76,74
77,74
5,78
8,78
22,78
43,78
48,78
53,78
56,78
59,78
5,79
5,80
5,81
76,82
1,84
3,84
7,84
11,84
32,84
36,84
45,84
47,84
58,84
77,84
83,84
85,84
5,87
11,87
13,87
15,87
16,87
18,87
19,87
20,87
36,87
37,87
40,87
43,87
44,87
45,87
48,87
49,87
51,87
52,87
53,87
59,87
61,87
69,87
86,87
88,87
89,87
90,87
91,87
92,87
93,87
94,87
95,87
96,87
97,87
20,98
12,99
57,101
58,101
100,101
5,103
10,103
19,103
20,103
22,103
24,103
39,103
41,103
48,103
62,103
63,103
90,103
102,103
104,103
105,103
106,103
107,103
108,103
109,103
110,103
111,103
112,103
1,113
33,113
48,113
73,113
5,115
