i,j
1,2
4,2
7,2
8,2
9,2
10,2
11,2
12,2
13,2
14,2
15,2
17,2
18,2
19,2
20,2
21,2
22,2
23,2
24,2
26,2
27,2
1,3
4,3
7,3
9,3
10,3
11,3
12,3
13,3
15,3
16,3
18,3
19,3
20,3
22,3
23,3
25,3
26,3
4,5
12,5
15,5
17,5
18,5
19,5
22,5
24,5
26,5
27,5
4,6
1,28
4,28
7,28
8,28
9,28
10,28
11,28
12,28
13,28
14,28
15,28
16,28
17,28
18,28
19,28
20,28
21,28
22,28
23,28
24,28
25,28
26,28
27,28
31,28
1,29
4,29
7,29
8,29
9,29
10,29
11,29
12,29
13,29
14,29
15,29
16,29
17,29
18,29
19,29
20,29
21,29
22,29
23,29
24,29
25,29
26,29
27,29
31,29
1,30
4,30
10,30
12,30
21,30
