i,j
1,2
3,2
4,2
5,2
6,2
7,8
9,10
9,11
12,13
14,13
15,13
16,17
12,18
14,18
9,19
14,20
12,21
15,21
22,21
23,21
24,21
14,25
26,25
16,27
28,29
30,29
14,31
15,31
32,31
33,31
34,31
35,31
12,36
15,36
37,36
38,36
39,36
40,36
41,36
42,36
43,36
15,45
44,45
46,45
4,47
15,47
16,47
40,47
46,47
48,47
49,47
50,47
51,47
52,47
53,47
9,54
15,54
26,54
5,55
6,55
15,55
48,55
51,55
56,55
15,58
35,58
41,58
52,58
57,58
59,58
5,61
15,61
16,61
49,61
51,61
60,61
48,63
51,63
62,63
14,64
48,64
14,66
41,66
65,66
67,66
68,66
26,69
48,69
51,69
70,69
71,69
4,72
5,72
6,72
14,72
15,72
16,72
22,72
24,72
26,72
41,72
43,72
46,72
48,72
49,72
51,72
52,72
57,72
62,72
68,72
70,72
73,72
74,72
4,75
5,75
6,75
12,75
14,75
16,75
22,75
48,75
49,75
51,75
52,75
76,75
77,75
185,75
4,78
5,78
6,78
23,78
48,78
79,78
80,78
3,81
15,81
48,81
14,82
70,83
14,84
15,84
23,84
85,84
86,84
14,87
15,87
3,89
5,89
12,89
15,89
16,89
26,89
49,89
57,89
59,89
62,89
68,89
71,89
73,89
76,89
88,89
90,89
91,89
92,89
93,89
94,89
95,89
96,89
97,89
98,89
99,89
12,100
26,100
62,100
101,100
102,100
103,100
104,100
105,100
12,106
23,106
24,106
35,106
107,106
12,108
15,108
35,108
57,108
26,109
1,110
3,110
5,110
15,110
16,110
44,110
49,110
50,110
57,110
73,110
88,110
91,110
94,110
95,110
105,110
14,112
15,112
40,112
41,112
111,112
113,112
5,114
15,114
57,114
90,114
113,114
3,115
15,115
57,115
62,115
77,115
88,115
90,115
91,115
95,115
97,115
105,115
116,115
117,115
113,118
119,118
120,118
28,121
3,122
5,122
15,122
57,122
90,122
95,122
113,122
119,122
123,122
51,124
56,124
57,124
125,124
3,126
5,126
12,126
16,126
24,126
57,126
91,126
116,126
127,126
128,126
3,129
26,129
91,129
105,129
117,129
57,130
26,131
5,132
16,132
49,132
62,132
26,133
3,134
4,134
5,134
16,134
62,134
105,134
135,134
57,136
26,137
9,138
26,139
35,139
140,139
14,141
26,141
35,141
56,142
12,143
14,143
15,143
24,143
26,143
32,143
39,143
125,143
144,143
145,143
146,143
147,143
148,143
5,149
14,149
15,149
28,149
41,149
62,149
14,150
26,150
14,151
15,151
24,151
65,151
152,151
15,153
15,154
14,155
15,155
37,155
39,155
50,156
157,158
26,159
50,159
105,159
26,160
57,161
4,162
5,162
57,162
68,162
26,163
26,164
5,165
16,166
26,166
26,167
14,168
39,168
14,169
15,169
24,169
6,170
14,170
15,170
39,170
41,170
48,170
68,170
171,170
14,172
15,172
145,172
148,172
14,173
15,173
174,173
14,175
26,175
37,175
41,175
71,175
176,175
177,175
14,178
177,178
15,179
16,179
14,180
57,180
181,180
182,180
183,180
9,184
48,184
51,184
