i,j
1,2
5,2
6,2
7,2
8,2
13,2
15,2
17,2
19,2
22,2
25,2
32,2
33,2
36,2
37,2
40,2
42,2
43,2
44,2
45,2
46,2
47,2
48,2
49,2
50,2
51,2
52,2
53,2
54,2
55,2
56,2
57,2
58,2
59,2
60,2
61,2
62,2
63,2
64,2
65,2
66,2
67,2
68,2
69,2
70,2
71,2
72,2
73,2
74,2
75,2
76,2
77,2
78,2
79,2
80,2
81,2
82,2
83,2
84,2
85,2
86,2
87,2
88,2
89,2
90,2
3,4
5,4
6,4
7,4
8,4
9,4
10,4
11,4
12,4
13,4
14,4
15,4
16,4
17,4
18,4
19,4
20,4
7,21
8,21
22,21
7,24
8,24
11,24
12,24
13,24
23,24
25,24
29,24
35,24
36,24
37,24
38,24
39,24
40,24
41,24
8,27
13,27
26,27
28,27
29,30
31,30
32,30
13,34
29,34
32,34
33,34
8,91
16,91
8,92
11,92
13,92
16,92
17,92
29,92
32,92
41,92
62,92
64,92
75,92
76,92
90,92
93,92
94,92
95,92
96,92
97,92
98,92
99,92
100,92
1,102
8,102
11,102
13,102
16,102
17,102
18,102
29,102
32,102
36,102
41,102
45,102
46,102
54,102
67,102
74,102
86,102
97,102
101,102
103,102
104,102
105,102
106,102
107,102
108,102
109,102
110,111
13,113
14,113
15,113
16,113
112,113
114,113
