i,j
1,2
8,2
11,2
17,2
18,2
19,2
20,2
21,2
22,2
23,2
26,2
28,2
34,2
36,2
37,2
42,2
46,2
47,2
1,3
11,3
15,3
17,3
18,3
19,3
22,3
25,3
26,3
28,3
29,3
32,3
33,3
35,3
1,4
8,4
11,4
15,4
18,4
20,4
25,4
28,4
29,4
34,4
1,5
8,5
11,5
14,5
18,5
20,5
21,5
30,5
31,5
1,6
14,6
15,6
17,6
18,6
21,6
24,6
30,6
1,7
8,7
14,7
20,7
38,7
8,9
14,9
17,9
23,9
25,9
26,9
27,9
31,9
36,9
39,9
45,9
48,9
8,10
14,10
19,10
22,10
27,10
35,10
49,10
11,12
14,12
15,12
17,12
19,12
21,12
22,12
23,12
24,12
27,12
32,12
40,12
43,12
44,12
11,13
15,13
23,13
24,13
33,13
37,13
41,13
15,16
29,16
