i,j
1,2
12,2
16,2
27,2
28,2
29,2
34,2
35,2
36,2
37,2
38,2
40,2
44,2
46,2
49,2
57,2
59,2
63,2
64,2
69,2
71,2
103,2
106,2
109,2
113,2
122,2
126,2
134,2
1,3
12,3
16,3
19,3
22,3
27,3
28,3
29,3
31,3
34,3
36,3
37,3
38,3
39,3
47,3
56,3
64,3
67,3
81,3
82,3
89,3
115,3
128,3
141,3
1,4
16,4
19,4
22,4
40,4
42,4
46,4
48,4
49,4
54,4
70,4
73,4
75,4
100,4
130,4
1,5
12,5
16,5
19,5
28,5
29,5
39,5
41,5
43,5
53,5
91,5
102,5
107,5
123,5
1,6
12,6
16,6
19,6
27,6
29,6
39,6
47,6
48,6
49,6
59,6
61,6
104,6
1,7
27,7
28,7
31,7
33,7
87,7
90,7
133,7
1,8
12,8
35,8
65,8
77,8
111,8
116,8
138,8
1,9
16,9
19,9
22,9
27,9
110,9
1,10
50,10
54,10
55,10
58,10
65,10
1,11
31,11
35,11
42,11
45,11
12,13
27,13
28,13
34,13
39,13
40,13
41,13
43,13
45,13
46,13
50,13
57,13
58,13
62,13
85,13
93,13
98,13
114,13
119,13
121,13
124,13
135,13
136,13
137,13
139,13
12,14
19,14
34,14
36,14
37,14
41,14
43,14
47,14
50,14
53,14
55,14
60,14
68,14
72,14
80,14
83,14
88,14
96,14
101,14
105,14
108,14
112,14
118,14
120,14
142,14
12,15
16,15
38,15
84,15
16,17
19,17
22,17
29,17
33,17
48,17
127,17
131,17
16,18
61,18
74,18
97,18
132,18
19,20
22,20
27,20
28,20
33,20
35,20
45,20
63,20
19,21
36,21
22,23
31,23
42,23
62,23
66,23
78,23
79,23
86,23
140,23
22,24
27,24
33,24
44,24
22,25
44,25
56,25
94,25
22,26
33,26
66,26
12,30
29,30
37,30
38,30
40,30
41,30
60,30
76,30
92,30
95,30
99,30
117,30
125,30
31,32
34,32
51,32
129,32
51,52
