i,j
1,2
17,2
19,2
20,2
25,2
26,2
28,2
31,2
34,2
39,2
1,3
8,3
19,3
22,3
23,3
27,3
30,3
33,3
36,3
37,3
38,3
51,3
1,4
17,4
19,4
22,4
23,4
25,4
27,4
42,4
1,5
17,5
23,5
49,5
52,5
1,6
17,6
18,6
19,6
22,6
27,6
32,6
46,6
1,7
8,7
19,7
20,7
23,7
34,7
44,7
45,7
8,9
18,9
19,9
20,9
22,9
26,9
30,9
38,9
41,9
48,9
8,10
17,10
19,10
20,10
22,10
28,10
32,10
50,10
8,11
17,11
18,11
28,11
32,11
35,11
8,12
20,12
22,12
28,12
33,12
43,12
47,12
8,13
20,13
26,13
40,13
8,14
18,14
22,14
26,14
33,14
8,15
22,15
30,15
33,15
8,16
20,21
23,24
27,24
28,29
