i,j
1,2
19,2
33,2
74,2
90,2
92,2
97,2
113,2
123,2
126,2
127,2
128,2
133,2
142,2
144,2
166,2
170,2
173,2
178,2
184,2
200,2
201,2
202,2
205,2
206,2
234,2
239,2
258,2
260,2
262,2
277,2
294,2
295,2
304,2
306,2
318,2
322,2
327,2
332,2
361,2
370,2
371,2
372,2
373,2
374,2
375,2
376,2
378,2
381,2
393,2
394,2
395,2
396,2
397,2
398,2
399,2
3,4
74,4
90,4
98,4
109,4
115,4
116,4
123,4
134,4
136,4
139,4
142,4
144,4
163,4
173,4
189,4
199,4
200,4
202,4
205,4
210,4
230,4
236,4
239,4
271,4
319,4
320,4
342,4
343,4
5,6
103,6
106,6
392,6
7,8
24,8
54,8
70,8
74,8
75,8
98,8
130,8
149,8
161,8
169,8
179,8
182,8
195,8
199,8
244,8
257,8
291,8
292,8
293,8
323,8
324,8
325,8
326,8
328,8
329,8
330,8
331,8
347,8
348,8
349,8
350,8
351,8
352,8
353,8
354,8
355,8
9,10
264,10
11,12
24,12
54,12
61,12
74,12
90,12
92,12
96,12
113,12
119,12
120,12
135,12
143,12
148,12
156,12
163,12
171,12
196,12
197,12
207,12
208,12
220,12
243,12
266,12
274,12
278,12
280,12
283,12
288,12
310,12
315,12
345,12
346,12
13,14
24,14
57,14
78,14
86,14
96,14
106,14
134,14
140,14
185,14
195,14
209,14
15,16
33,16
113,16
115,16
137,16
157,16
173,16
174,16
193,16
247,16
17,18
33,18
133,18
167,18
195,18
19,20
61,20
74,20
90,20
98,20
106,20
117,20
119,20
123,20
128,20
130,20
132,20
135,20
136,20
138,20
142,20
143,20
145,20
154,20
191,20
218,20
256,20
268,20
276,20
284,20
289,20
382,20
383,20
19,21
61,21
70,21
75,21
90,21
99,21
112,21
122,21
191,21
229,21
385,21
386,21
19,22
92,22
97,22
122,22
128,22
130,22
132,22
145,22
225,22
269,22
369,22
391,22
19,23
33,23
54,23
75,23
113,23
137,23
165,23
24,25
33,25
54,25
57,25
61,25
74,25
78,25
86,25
92,25
99,25
105,25
125,25
129,25
134,25
155,25
171,25
194,25
196,25
249,25
299,25
301,25
303,25
305,25
388,25
24,26
33,26
54,26
57,26
61,26
86,26
103,26
105,26
125,26
7,27
24,27
54,27
92,27
96,27
163,27
200,27
24,28
54,28
96,28
140,28
157,28
168,28
24,29
54,29
61,29
74,29
98,29
135,29
201,29
24,30
54,30
57,30
96,30
135,30
203,30
238,30
24,31
61,31
24,32
33,34
54,34
57,34
61,34
74,34
78,34
86,34
90,34
92,34
99,34
109,34
110,34
125,34
129,34
134,34
139,34
145,34
148,34
155,34
163,34
171,34
188,34
196,34
202,34
219,34
311,34
312,34
358,34
33,35
78,35
97,35
103,35
106,35
129,35
133,35
140,35
146,35
157,35
175,35
186,35
193,35
203,35
227,35
33,36
78,36
97,36
113,36
143,36
169,36
184,36
344,36
33,37
78,37
90,37
97,37
106,37
127,37
135,37
183,37
217,37
335,37
336,37
359,37
360,37
33,38
90,38
116,38
127,38
