i,j
1,2
23,2
25,2
28,2
29,2
30,2
31,2
32,2
33,2
34,2
35,2
36,2
37,2
38,2
39,2
40,2
41,2
42,2
43,2
46,2
47,2
48,2
49,2
50,2
51,2
52,2
53,2
56,2
57,2
59,2
60,2
63,2
76,2
77,2
1,3
23,3
25,3
28,3
29,3
30,3
31,3
32,3
34,3
35,3
36,3
37,3
38,3
39,3
41,3
42,3
43,3
44,3
45,3
46,3
47,3
49,3
50,3
52,3
53,3
54,3
55,3
56,3
59,3
60,3
61,3
67,3
1,4
23,4
25,4
28,4
29,4
30,4
31,4
32,4
34,4
35,4
36,4
37,4
38,4
39,4
41,4
42,4
43,4
46,4
47,4
49,4
50,4
53,4
55,4
56,4
59,4
60,4
61,4
70,4
78,4
84,4
1,5
23,5
25,5
28,5
29,5
30,5
31,5
32,5
33,5
34,5
35,5
36,5
37,5
38,5
39,5
40,5
41,5
42,5
43,5
44,5
45,5
46,5
47,5
48,5
50,5
54,5
61,5
63,5
73,5
74,5
1,6
23,6
25,6
28,6
29,6
30,6
31,6
32,6
33,6
34,6
35,6
36,6
37,6
38,6
40,6
42,6
44,6
45,6
48,6
51,6
52,6
53,6
54,6
57,6
58,6
66,6
68,6
69,6
72,6
1,7
23,7
25,7
28,7
29,7
30,7
31,7
32,7
33,7
34,7
35,7
36,7
37,7
38,7
40,7
44,7
45,7
48,7
50,7
51,7
54,7
57,7
58,7
59,7
62,7
63,7
64,7
72,7
85,7
1,8
23,8
25,8
28,8
29,8
30,8
31,8
32,8
33,8
34,8
35,8
36,8
37,8
38,8
40,8
41,8
42,8
43,8
44,8
45,8
47,8
49,8
50,8
54,8
58,8
64,8
69,8
1,9
23,9
25,9
28,9
29,9
30,9
31,9
32,9
33,9
34,9
35,9
36,9
37,9
39,9
40,9
42,9
43,9
44,9
45,9
46,9
48,9
51,9
54,9
55,9
57,9
65,9
1,10
23,10
25,10
28,10
31,10
32,10
34,10
36,10
38,10
39,10
41,10
42,10
43,10
46,10
47,10
49,10
50,10
52,10
53,10
55,10
56,10
60,10
61,10
75,10
80,10
1,11
23,11
25,11
28,11
29,11
30,11
32,11
33,11
34,11
35,11
36,11
37,11
38,11
39,11
41,11
43,11
46,11
47,11
49,11
52,11
57,11
71,11
79,11
81,11
83,11
1,12
23,12
25,12
28,12
29,12
30,12
31,12
34,12
36,12
38,12
39,12
41,12
42,12
43,12
46,12
47,12
49,12
50,12
52,12
53,12
55,12
56,12
60,12
66,12
1,13
23,13
25,13
28,13
29,13
30,13
31,13
32,13
33,13
34,13
35,13
36,13
37,13
38,13
39,13
40,13
41,13
45,13
46,13
47,13
48,13
50,13
51,13
1,14
23,14
25,14
28,14
29,14
30,14
31,14
32,14
33,14
35,14
37,14
40,14
42,14
44,14
45,14
48,14
51,14
59,14
62,14
67,14
68,14
70,14
1,15
23,15
25,15
28,15
29,15
30,15
31,15
32,15
33,15
34,15
35,15
36,15
37,15
39,15
40,15
42,15
43,15
45,15
52,15
54,15
64,15
82,15
1,16
23,16
25,16
28,16
29,16
30,16
33,16
34,16
35,16
36,16
37,16
38,16
39,16
46,16
49,16
52,16
1,17
23,17
25,17
28,17
30,17
32,17
33,17
36,17
38,17
39,17
41,17
43,17
48,17
49,17
55,17
56,17
1,18
25,18
28,18
29,18
30,18
31,18
32,18
33,18
35,18
40,18
44,18
48,18
51,18
57,18
58,18
1,19
23,19
25,19
28,19
29,19
30,19
31,19
32,19
33,19
34,19
35,19
40,19
44,19
58,19
1,20
23,20
25,20
29,20
30,20
31,20
33,20
38,20
40,20
44,20
51,20
58,20
65,20
1,21
23,21
28,21
29,21
31,21
32,21
33,21
35,21
39,21
44,21
45,21
1,22
23,22
29,22
30,22
31,22
34,22
35,22
41,22
55,22
23,24
28,24
30,24
32,24
39,24
41,24
43,24
46,24
47,24
53,24
61,24
25,26
29,26
31,26
33,26
40,26
42,26
44,26
45,26
51,26
62,26
65,26
25,27
34,27
36,27
37,27
47,27
71,27
