i,j
1,2
3,2
4,2
5,2
6,2
7,2
8,2
8,9
8,10
3,11
8,12
5,13
3,14
8,14
5,16
6,16
8,16
15,16
17,16
18,16
19,16
20,16
21,16
22,16
24,16
8,23
25,26
5,27
8,28
8,29
15,30
19,30
31,30
32,30
33,30
8,34
8,35
8,36
8,37
38,39
40,39
8,41
15,41
42,41
3,44
6,44
7,44
8,44
15,44
38,44
43,44
45,44
46,44
47,44
48,44
49,44
50,44
51,44
52,44
53,44
54,44
55,44
56,44
57,44
58,44
59,44
60,61
1,62
31,62
3,63
7,63
42,63
59,63
64,63
65,63
66,63
8,67
8,68
8,70
69,70
8,71
52,73
55,73
72,73
74,73
8,75
3,76
77,78
8,79
8,80
3,81
8,81
3,82
15,82
48,82
49,82
56,82
8,83
8,84
77,85
8,86
8,87
77,88
8,89
1,90
7,90
8,90
15,91
8,92
8,93
8,94
8,95
8,96
8,97
1,98
8,98
59,98
8,99
8,100
8,101
8,102
8,103
8,104
8,105
3,106
8,106
3,107
15,107
48,107
49,107
56,107
8,108
8,109
8,110
8,111
1,112
3,112
8,112
59,112
8,113
8,114
6,115
8,115
8,116
8,117
40,117
8,118
8,119
3,120
1,121
8,121
8,122
45,122
8,123
8,124
3,126
6,126
7,126
8,126
19,126
57,126
125,126
127,126
128,126
7,129
5,130
8,131
8,132
8,133
3,134
5,134
6,134
8,135
8,136
8,137
8,138
8,139
8,140
77,141
7,142
1,143
6,143
8,143
144,145
8,146
5,147
8,147
8,148
15,148
8,149
8,151
150,151
8,152
52,152
60,152
8,153
1,154
8,155
1,156
8,156
