i,j
1,2
3,2
5,2
7,2
10,2
14,2
16,2
18,2
20,2
22,2
25,2
28,2
30,2
32,2
33,2
34,2
44,2
45,2
46,2
47,2
48,2
1,4
3,4
5,4
6,4
7,4
8,4
9,4
10,4
11,4
12,4
13,4
14,4
3,15
5,15
6,15
7,15
8,15
10,15
14,15
16,15
17,15
18,15
19,15
20,15
21,15
22,15
3,23
8,23
9,23
14,23
17,23
24,23
25,23
1,26
3,26
5,26
6,26
7,26
8,26
10,26
11,26
12,26
13,26
14,26
16,26
17,26
18,26
19,26
20,26
21,26
22,26
24,26
25,26
27,26
28,26
29,26
30,26
31,26
32,26
33,26
34,26
35,26
36,26
1,37
7,37
10,37
11,37
12,37
14,37
22,37
28,37
32,37
34,37
1,39
3,39
5,39
6,39
7,39
8,39
9,39
14,39
16,39
17,39
18,39
20,39
21,39
22,39
28,39
30,39
33,39
34,39
36,39
38,39
40,39
41,39
42,39
43,39
14,50
20,50
48,50
49,50
51,50
5,52
6,52
10,52
11,52
31,52
8,54
9,54
11,54
14,54
20,54
24,54
53,54
9,55
17,55
3,56
9,56
17,56
9,57
41,57
53,57
