i,j
1,2
5,2
12,2
14,2
23,2
30,2
34,2
35,2
38,2
56,2
61,2
62,2
72,2
1,3
9,3
14,3
23,3
30,3
32,3
44,3
76,3
77,3
1,4
23,4
1,6
5,6
12,6
14,6
23,6
30,6
32,6
34,6
35,6
36,6
38,6
39,6
45,6
48,6
51,6
59,6
62,6
83,6
84,6
5,8
7,8
12,8
14,8
23,8
32,8
37,8
40,8
42,8
43,8
74,8
1,10
9,10
14,10
23,10
30,10
52,10
53,10
58,10
71,10
81,10
7,11
14,11
1,13
5,13
7,13
14,13
23,13
32,13
34,13
35,13
36,13
37,13
39,13
41,13
44,13
46,13
48,13
50,13
55,13
57,13
59,13
61,13
67,13
68,13
70,13
80,13
14,15
45,15
1,16
9,16
14,16
30,16
34,16
35,16
36,16
37,16
38,16
39,16
43,16
62,16
69,16
73,16
75,16
14,17
42,17
49,17
66,17
78,17
79,17
82,17
5,18
7,18
14,18
23,18
32,18
61,18
14,19
40,19
41,19
14,20
23,20
7,21
14,21
14,22
23,24
34,24
23,25
23,26
23,27
23,28
5,29
30,31
7,33
32,33
54,33
14,47
46,47
59,60
7,63
7,64
9,65
