i,j
1,2
6,2
25,2
34,2
39,2
41,2
47,2
54,2
71,2
81,2
96,2
1,3
4,3
34,3
36,3
47,3
54,3
86,3
87,3
92,3
4,5
39,5
47,5
54,5
1,7
6,7
47,7
54,7
6,8
25,8
36,8
54,8
6,9
47,9
54,9
6,10
47,10
90,10
6,11
36,11
54,11
6,12
54,12
6,13
54,13
6,14
25,14
6,15
6,16
6,17
6,18
6,19
1,20
4,20
39,20
41,20
47,20
66,20
74,20
75,20
77,20
78,20
80,20
85,20
90,20
1,21
4,21
34,21
47,21
76,21
85,21
1,22
6,22
54,22
69,22
81,22
94,22
1,23
39,23
47,23
54,23
1,24
6,26
25,26
34,26
36,26
47,26
72,26
76,26
80,26
25,27
47,27
54,27
25,28
54,28
25,29
54,29
25,30
4,31
34,31
41,31
47,31
71,31
74,31
75,31
77,31
82,31
85,31
86,31
93,31
4,32
54,32
69,32
71,32
74,32
4,33
34,35
82,35
36,37
54,37
76,37
82,37
36,38
54,38
39,40
41,40
47,40
54,40
66,40
78,40
80,40
41,42
54,42
75,42
43,44
72,44
83,44
91,44
43,45
72,45
83,45
91,45
43,46
6,48
47,48
54,48
69,48
47,49
47,50
47,51
47,52
47,53
54,53
97,53
54,55
71,55
81,55
95,55
54,56
89,56
54,57
54,58
54,59
54,60
54,61
54,62
54,63
54,64
43,65
66,67
66,68
69,70
77,70
72,73
78,79
83,84
87,88
89,88
