i,j
1,2
11,2
13,2
14,2
18,2
22,2
3,4
5,4
8,4
11,4
15,4
17,4
3,7
5,7
6,7
8,7
9,7
10,7
11,7
13,7
15,7
16,7
17,7
18,7
19,7
20,7
22,7
23,7
24,7
27,7
28,7
9,12
10,12
11,12
17,12
3,21
8,21
9,21
10,21
11,21
14,21
16,21
17,21
18,21
19,21
22,21
23,21
24,21
27,21
29,21
30,21
40,21
45,21
11,25
23,25
11,26
24,26
10,31
40,31
8,32
13,32
15,32
19,32
24,32
13,33
24,33
28,33
40,33
43,33
11,34
1,35
13,35
15,35
19,35
9,36
11,36
19,36
3,37
6,37
11,37
3,38
8,38
11,38
18,38
19,38
24,38
23,39
30,39
43,39
24,41
40,41
11,42
43,44
8,46
18,46
19,46
5,47
11,47
8,48
16,48
19,49
11,50
24,50
1,51
19,51
9,52
18,53
23,53
18,54
40,55
9,56
27,57
28,58
