i,j
1,2
18,2
23,2
29,2
37,2
44,2
45,2
47,2
54,2
56,2
57,2
60,2
61,2
67,2
70,2
72,2
86,2
88,2
91,2
95,2
97,2
99,2
100,2
105,2
106,2
108,2
112,2
120,2
124,2
134,2
139,2
141,2
142,2
149,2
150,2
157,2
158,2
160,2
169,2
170,2
172,2
178,2
179,2
1,3
18,3
23,3
29,3
32,3
41,3
44,3
45,3
46,3
47,3
61,3
62,3
69,3
72,3
79,3
83,3
84,3
103,3
104,3
116,3
123,3
131,3
147,3
155,3
156,3
1,4
29,4
32,4
44,4
45,4
46,4
47,4
64,4
77,4
79,4
80,4
82,4
83,4
84,4
94,4
171,4
1,5
18,5
23,5
29,5
37,5
44,5
47,5
54,5
55,5
62,5
65,5
66,5
67,5
81,5
119,5
168,5
1,6
18,6
29,6
37,6
45,6
56,6
60,6
64,6
68,6
69,6
75,6
78,6
80,6
82,6
110,6
122,6
1,7
18,7
23,7
32,7
44,7
45,7
46,7
48,7
54,7
62,7
69,7
77,7
82,7
83,7
90,7
126,7
1,8
18,8
23,8
39,8
51,8
65,8
73,8
74,8
92,8
94,8
114,8
117,8
125,8
177,8
1,9
18,9
23,9
29,9
45,9
47,9
54,9
56,9
69,9
91,9
163,9
180,9
1,10
18,10
23,10
48,10
70,10
73,10
93,10
103,10
106,10
107,10
113,10
132,10
1,11
18,11
29,11
45,11
46,11
48,11
63,11
68,11
79,11
87,11
89,11
175,11
1,12
29,12
44,12
46,12
50,12
63,12
71,12
87,12
88,12
176,12
1,13
37,13
41,13
50,13
51,13
55,13
63,13
72,13
111,13
151,13
1,14
41,14
50,14
71,14
84,14
102,14
161,14
1,15
18,15
41,15
46,15
50,15
68,15
1,16
101,16
1,17
18,19
23,19
37,19
44,19
45,19
47,19
54,19
56,19
62,19
66,19
67,19
72,19
77,19
78,19
80,19
85,19
96,19
97,19
98,19
101,19
110,19
113,19
118,19
128,19
129,19
136,19
140,19
162,19
164,19
165,19
167,19
18,20
23,20
39,20
51,20
55,20
61,20
65,20
74,20
105,20
114,20
18,21
75,21
18,22
23,24
29,24
32,24
39,24
50,24
54,24
57,24
78,24
23,25
37,25
44,25
56,25
66,25
67,25
109,25
23,26
37,26
51,26
61,26
71,26
73,26
23,27
32,27
39,27
153,27
166,27
23,28
39,28
104,28
29,30
32,30
37,30
39,30
41,30
46,30
55,30
66,30
87,30
29,31
32,33
48,33
70,33
81,33
85,33
86,33
90,33
98,33
99,33
108,33
109,33
112,33
130,33
148,33
152,33
154,33
174,33
32,34
39,34
41,34
55,34
68,34
107,34
115,34
116,34
32,35
50,35
63,35
64,35
93,35
127,35
32,36
37,38
60,38
89,38
39,40
41,42
48,42
64,42
92,42
115,42
173,42
41,43
65,43
111,43
143,43
48,49
70,49
81,49
85,49
86,49
95,49
96,49
100,49
133,49
135,49
138,49
146,49
159,49
51,52
71,52
74,52
88,52
102,52
51,53
137,53
144,53
145,53
57,58
60,58
121,58
57,59
75,76
