i,j
1,2
59,2
91,2
103,2
116,2
126,2
145,2
150,2
157,2
159,2
160,2
168,2
180,2
181,2
183,2
197,2
199,2
200,2
203,2
205,2
209,2
211,2
214,2
225,2
234,2
240,2
243,2
244,2
247,2
253,2
255,2
1,3
59,3
91,3
103,3
116,3
126,3
145,3
150,3
157,3
160,3
162,3
168,3
172,3
180,3
183,3
197,3
199,3
203,3
205,3
208,3
209,3
211,3
216,3
218,3
219,3
230,3
245,3
259,3
1,4
91,4
103,4
116,4
126,4
138,4
150,4
157,4
159,4
160,4
162,4
165,4
168,4
172,4
181,4
183,4
199,4
205,4
226,4
230,4
233,4
240,4
241,4
244,4
247,4
256,4
261,4
1,5
59,5
103,5
116,5
126,5
145,5
157,5
159,5
160,5
183,5
199,5
200,5
203,5
209,5
214,5
226,5
233,5
234,5
240,5
243,5
262,5
1,6
91,6
116,6
126,6
150,6
159,6
162,6
165,6
181,6
183,6
185,6
199,6
211,6
218,6
225,6
226,6
227,6
236,6
247,6
252,6
258,6
259,6
261,6
1,7
91,7
103,7
116,7
145,7
157,7
160,7
168,7
181,7
183,7
197,7
199,7
203,7
208,7
211,7
218,7
233,7
234,7
241,7
245,7
255,7
262,7
1,8
59,8
91,8
103,8
116,8
138,8
145,8
150,8
157,8
159,8
160,8
180,8
197,8
199,8
207,8
208,8
209,8
226,8
230,8
234,8
240,8
241,8
1,9
103,9
138,9
150,9
157,9
159,9
181,9
197,9
199,9
200,9
203,9
214,9
230,9
233,9
234,9
240,9
243,9
1,10
59,10
91,10
126,10
145,10
157,10
159,10
162,10
165,10
180,10
197,10
199,10
205,10
243,10
249,10
255,10
256,10
1,11
59,11
91,11
138,11
145,11
157,11
162,11
165,11
180,11
183,11
197,11
199,11
200,11
216,11
225,11
226,11
244,11
253,11
1,12
59,12
91,12
116,12
138,12
150,12
157,12
168,12
183,12
197,12
199,12
200,12
207,12
208,12
218,12
225,12
226,12
233,12
1,13
59,13
91,13
103,13
116,13
138,13
150,13
157,13
165,13
183,13
197,13
207,13
208,13
209,13
214,13
218,13
225,13
244,13
1,14
59,14
91,14
103,14
116,14
160,14
165,14
168,14
181,14
203,14
214,14
216,14
218,14
241,14
255,14
262,14
1,15
103,15
116,15
138,15
168,15
172,15
207,15
208,15
216,15
218,15
219,15
241,15
246,15
1,16
91,16
103,16
116,16
138,16
157,16
159,16
162,16
165,16
183,16
200,16
208,16
225,16
1,17
103,17
116,17
138,17
145,17
159,17
180,17
225,17
240,17
246,17
1,18
103,18
138,18
150,18
157,18
197,18
199,18
207,18
226,18
233,18
242,18
1,19
103,19
116,19
138,19
150,19
157,19
172,19
180,19
207,19
208,19
214,19
241,19
1,20
91,20
103,20
116,20
126,20
159,20
181,20
203,20
205,20
208,20
216,20
246,20
1,21
91,21
116,21
138,21
150,21
157,21
159,21
197,21
200,21
209,21
214,21
1,22
59,22
91,22
126,22
145,22
159,22
218,22
219,22
236,22
1,23
91,23
159,23
168,23
181,23
211,23
236,23
242,23
245,23
1,24
159,24
162,24
168,24
207,24
216,24
240,24
242,24
243,24
1,25
91,25
138,25
145,25
160,25
162,25
168,25
244,25
253,25
1,26
91,26
103,26
138,26
145,26
199,26
207,26
209,26
255,26
1,27
91,27
162,27
165,27
183,27
218,27
226,27
1,28
91,28
116,28
181,28
203,28
216,28
1,29
59,29
103,29
116,29
150,29
165,29
205,29
1,30
116,30
197,30
200,30
230,30
242,30
247,30
1,31
59,31
91,31
103,31
145,31
246,31
1,32
59,32
91,32
145,32
165,32
205,32
249,32
1,33
103,33
159,33
172,33
225,33
227,33
1,34
91,34
103,34
126,34
207,34
216,34
1,35
138,35
157,35
159,35
226,35
233,35
1,36
138,36
165,36
207,36
208,36
209,36
1,37
116,37
145,37
160,37
203,37
233,37
1,38
103,38
116,38
138,38
207,38
1,39
103,39
138,39
150,39
208,39
1,40
103,40
172,40
247,40
1,41
59,41
91,41
162,41
226,41
1,42
116,42
145,42
180,42
214,42
1,43
103,43
150,43
209,43
1,44
145,44
160,44
168,44
1,45
138,45
207,45
214,45
1,46
157,46
1,47
145,47
165,47
180,47
1,48
180,48
255,48
