i,j
1,2
3,2
24,2
26,2
27,2
44,2
1,4
3,4
24,4
26,4
27,4
28,4
31,4
32,4
34,4
44,4
45,4
3,5
26,5
27,5
32,5
36,5
39,5
45,5
1,6
3,6
24,6
26,6
27,6
45,6
1,7
3,7
24,7
26,7
27,7
40,7
45,7
1,8
3,8
27,8
9,10
24,10
26,10
27,10
31,10
9,11
26,11
27,11
1,12
9,12
13,14
1,16
15,16
24,16
26,16
27,16
1,18
17,18
24,18
26,18
1,19
24,19
27,19
38,19
45,19
1,20
24,20
31,20
37,20
40,20
44,20
1,21
24,21
26,21
40,21
1,22
26,22
1,23
24,23
26,23
32,23
45,23
24,25
43,25
44,25
1,29
28,29
32,29
35,29
28,30
32,30
34,30
45,30
32,33
34,33
41,42
