i,j
1,2
156,2
159,2
162,2
164,2
1,3
28,3
29,3
31,3
33,3
35,3
37,3
38,3
40,3
41,3
43,3
46,3
47,3
61,3
62,3
75,3
82,3
90,3
157,3
161,3
164,3
165,3
167,3
169,3
192,3
193,3
194,3
195,3
197,3
198,3
1,4
28,4
29,4
37,4
43,4
46,4
61,4
75,4
82,4
85,4
90,4
156,4
157,4
159,4
162,4
163,4
164,4
165,4
169,4
194,4
1,5
28,5
37,5
38,5
43,5
47,5
62,5
75,5
156,5
159,5
161,5
163,5
164,5
169,5
192,5
193,5
195,5
198,5
1,6
29,6
31,6
37,6
40,6
44,6
46,6
47,6
82,6
157,6
161,6
164,6
169,6
192,6
193,6
195,6
196,6
197,6
198,6
1,7
28,7
29,7
31,7
33,7
37,7
38,7
41,7
62,7
82,7
85,7
157,7
161,7
167,7
169,7
197,7
1,8
28,8
31,8
33,8
44,8
82,8
90,8
153,8
156,8
159,8
162,8
164,8
165,8
167,8
1,9
29,9
31,9
38,9
40,9
41,9
43,9
61,9
82,9
156,9
161,9
165,9
167,9
194,9
195,9
1,10
28,10
29,10
44,10
48,10
75,10
90,10
156,10
157,10
161,10
163,10
165,10
1,11
28,11
29,11
75,11
82,11
85,11
90,11
153,11
156,11
159,11
163,11
164,11
165,11
167,11
1,12
33,12
41,12
48,12
61,12
75,12
82,12
157,12
159,12
161,12
162,12
163,12
1,13
35,13
44,13
46,13
47,13
75,13
82,13
153,13
161,13
163,13
169,13
1,14
48,14
82,14
85,14
156,14
157,14
159,14
161,14
168,14
196,14
1,15
31,15
33,15
41,15
44,15
47,15
61,15
62,15
161,15
169,15
1,16
28,16
33,16
37,16
61,16
82,16
165,16
167,16
169,16
1,17
29,17
82,17
85,17
156,17
157,17
159,17
161,17
167,17
198,17
1,18
40,18
46,18
47,18
82,18
161,18
162,18
164,18
167,18
169,18
1,19
28,19
75,19
82,19
156,19
162,19
164,19
167,19
1,20
43,20
48,20
62,20
75,20
90,20
153,20
157,20
168,20
1,21
37,21
90,21
156,21
157,21
163,21
169,21
1,22
31,22
40,22
90,22
161,22
167,22
193,22
1,23
28,23
82,23
85,23
156,23
162,23
164,23
165,23
1,24
31,24
44,24
75,24
82,24
85,24
156,24
159,24
1,25
75,25
82,25
85,25
153,25
159,25
168,25
1,26
82,26
153,26
156,26
168,26
1,27
48,27
75,27
82,27
153,27
157,27
168,27
1,30
29,30
31,32
1,34
33,34
75,34
82,34
1,36
35,36
75,36
82,36
153,36
38,39
41,42
48,42
153,42
157,42
168,42
1,45
40,45
44,45
82,45
48,49
75,49
153,49
168,49
1,50
28,50
82,50
85,50
159,50
162,50
165,50
29,51
33,51
82,51
197,51
35,52
38,52
82,52
161,52
164,52
35,53
1,54
37,54
38,54
169,54
1,55
40,55
82,55
159,55
43,56
1,57
35,57
75,57
38,58
41,59
1,60
46,60
82,60
164,60
1,63
33,63
37,63
85,63
153,63
157,63
35,64
90,64
161,64
1,65
43,65
169,65
46,66
169,66
1,67
156,67
159,67
162,67
1,68
75,68
153,68
168,68
1,69
85,69
165,69
1,70
90,70
1,71
85,71
1,72
75,72
1,73
1,74
1,76
75,76
82,76
153,76
161,76
192,76
75,77
157,77
159,77
163,77
75,78
153,78
168,78
75,79
75,80
75,81
28,83
82,83
48,84
82,84
161,84
167,84
1,86
85,86
156,86
159,86
162,86
1,87
85,87
156,87
162,87
1,88
85,88
85,89
1,91
75,91
90,91
90,92
163,92
90,93
90,94
1,95
75,95
153,95
163,95
168,95
1,96
156,96
159,96
162,96
1,97
85,97
153,97
156,97
1,98
85,98
156,98
159,98
1,99
48,99
75,99
157,99
1,100
165,100
1,101
153,101
1,102
159,102
1,103
159,103
1,104
1,105
1,106
1,107
1,108
35,108
75,108
153,108
157,108
75,109
153,109
157,109
161,109
168,109
75,110
157,110
75,111
75,112
33,113
82,113
156,113
161,113
167,113
1,114
82,114
163,114
1,115
85,115
156,115
159,115
162,115
85,116
156,116
159,116
85,117
157,117
82,118
85,118
90,119
156,119
90,120
90,121
1,122
82,122
159,122
1,123
75,123
153,123
168,123
1,124
31,124
40,124
164,124
1,125
75,125
153,125
1,126
1,127
1,128
1,129
1,130
1,131
75,132
157,132
75,133
75,134
1,135
82,135
85,135
156,135
159,135
90,136
90,137
1,138
156,138
1,139
164,139
1,140
1,141
1,142
48,143
75,143
153,143
157,143
75,144
163,144
75,145
75,146
85,147
156,147
48,148
90,148
157,148
90,149
90,150
90,151
90,152
90,154
153,155
157,158
29,160
159,160
161,160
163,160
167,160
165,166
48,170
153,170
157,170
196,170
48,171
153,171
196,171
153,172
156,173
157,174
165,174
157,175
162,176
153,177
157,178
162,179
194,179
153,180
168,180
153,181
156,182
159,182
156,183
157,184
159,185
162,186
163,187
153,188
157,189
165,190
62,191
35,199
