i,j
1,2
61,2
81,2
82,2
87,2
92,2
98,2
101,2
108,2
109,2
120,2
126,2
133,2
147,2
156,2
162,2
165,2
168,2
170,2
193,2
221,2
254,2
276,2
282,2
291,2
353,2
1,3
18,3
30,3
41,3
53,3
65,3
76,3
80,3
82,3
90,3
92,3
97,3
101,3
107,3
138,3
139,3
147,3
241,3
244,3
259,3
290,3
336,3
351,3
352,3
1,4
30,4
45,4
82,4
87,4
104,4
118,4
122,4
135,4
155,4
209,4
296,4
335,4
1,5
97,5
101,5
128,5
132,5
136,5
150,5
151,5
190,5
306,5
1,6
18,6
30,6
61,6
108,6
111,6
113,6
116,6
146,6
148,6
206,6
257,6
1,7
65,7
81,7
87,7
126,7
181,7
222,7
1,8
30,8
67,8
81,8
84,8
100,8
148,8
1,9
18,9
41,9
53,9
93,9
109,9
256,9
292,9
1,10
65,10
81,10
158,10
182,10
234,10
260,10
262,10
1,11
18,11
84,11
108,11
111,11
128,11
218,11
253,11
1,12
67,12
109,12
1,13
41,13
67,13
1,14
72,14
1,15
1,16
1,17
18,19
80,19
94,19
113,19
114,19
115,19
124,19
132,19
140,19
149,19
169,19
183,19
186,19
200,19
204,19
215,19
258,19
313,19
350,19
359,19
365,19
368,19
18,20
41,20
53,20
78,20
80,20
93,20
100,20
104,20
107,20
138,20
139,20
240,20
358,20
18,21
30,21
41,21
67,21
72,21
76,21
84,21
100,21
125,21
232,21
18,22
90,22
94,22
114,22
115,22
116,22
261,22
286,22
293,22
299,22
355,22
18,23
45,23
56,23
108,23
142,23
242,23
297,23
304,23
318,23
18,24
41,24
45,24
53,24
76,24
78,24
122,24
153,24
199,24
245,24
18,25
41,25
56,25
76,25
78,25
80,25
143,25
275,25
278,25
320,25
18,26
61,26
78,26
108,26
114,26
161,26
167,26
207,26
18,27
76,27
84,27
92,27
97,27
192,27
18,28
61,28
65,28
124,28
270,28
281,28
18,29
56,29
78,29
30,31
61,31
82,31
120,31
152,31
154,31
160,31
212,31
230,31
267,31
277,31
349,31
30,32
41,32
53,32
81,32
107,32
136,32
150,32
179,32
239,32
264,32
283,32
30,33
72,33
81,33
211,33
300,33
301,33
360,33
30,34
41,34
45,34
107,34
163,34
251,34
30,35
41,35
53,35
97,35
173,35
30,36
92,36
100,36
30,37
65,37
307,37
30,38
65,38
97,38
30,39
56,39
93,39
30,40
81,40
41,42
72,42
119,42
125,42
195,42
248,42
298,42
41,43
41,44
45,46
53,46
104,46
107,46
191,46
45,47
65,47
87,47
134,47
151,47
274,47
45,48
53,48
80,48
153,48
213,48
45,49
135,49
231,49
45,50
56,50
80,50
93,50
45,51
56,51
45,52
53,54
61,54
76,54
90,54
100,54
127,54
142,54
152,54
176,54
227,54
266,54
338,54
53,55
243,55
252,55
56,57
82,57
93,57
265,57
56,58
78,58
123,58
56,59
80,59
123,59
56,60
197,60
61,62
185,62
238,62
61,63
271,63
61,64
65,66
92,66
67,68
72,68
67,69
145,69
67,70
67,71
72,73
98,73
111,73
113,73
115,73
121,73
141,73
149,73
154,73
166,73
180,73
184,73
187,73
203,73
208,73
226,73
228,73
279,73
285,73
289,73
294,73
303,73
311,73
315,73
319,73
322,73
323,73
324,73
325,73
327,73
330,73
331,73
332,73
337,73
339,73
344,73
345,73
346,73
347,73
354,73
356,73
72,74
90,74
114,74
194,74
196,74
280,74
348,74
72,75
90,75
76,77
78,79
82,83
202,83
225,83
334,83
84,85
94,85
98,85
121,85
127,85
140,85
141,85
188,85
189,85
214,85
263,85
295,85
305,85
314,85
316,85
329,85
357,85
371,85
84,86
87,88
134,88
247,88
87,89
90,91
94,95
98,95
115,95
137,95
236,95
340,95
341,95
94,96
137,96
164,96
210,96
328,96
342,96
98,99
216,99
217,99
229,99
246,99
101,102
198,102
235,102
101,103
145,103
233,103
104,105
133,105
155,105
201,105
255,105
284,105
104,106
367,106
109,110
111,112
113,112
116,112
146,112
343,112
116,117
129,130
129,131
143,144
156,157
158,159
171,172
174,175
177,178
205,178
326,178
219,220
223,224
237,224
249,250
268,269
272,273
287,288
302,288
308,288
309,288
310,288
312,288
317,288
321,288
333,288
361,288
362,288
363,288
364,288
366,288
369,288
370,288
