id,S,L,pred,herb,mutu,para,foodweb,other
4232,7,6,0,0,0,6,0,0
4235,6,7,0,0,0,7,0,0
4237,9,7,0,0,0,7,0,0
4241,11,11,0,0,0,11,0,0
4242,7,6,0,0,0,6,0,0
4243,16,14,0,0,0,14,0,0
4244,12,11,0,0,0,11,0,0
4245,17,18,0,0,0,18,0,0
4246,13,14,0,0,0,14,0,0
4247,9,9,0,0,0,9,0,0
4248,10,8,0,0,0,8,0,0
4249,16,19,0,0,0,19,0,0
4250,18,20,0,0,0,20,0,0
4252,5,5,0,0,0,5,0,0
4254,6,5,0,0,0,5,0,0
4258,7,6,0,0,0,6,0,0
4259,19,25,0,0,0,25,0,0
4260,6,5,0,0,0,5,0,0
4261,7,7,0,0,0,7,0,0
4263,9,7,0,0,0,7,0,0
4265,33,54,0,0,0,54,0,0
4266,15,20,0,0,0,20,0,0
4267,14,13,0,0,0,13,0,0
4268,52,68,0,0,0,68,0,0
4270,24,31,0,0,0,31,0,0
4272,22,28,0,0,0,28,0,0
4273,8,7,0,0,0,7,0,0
4274,45,50,0,0,0,50,0,0
4275,16,19,0,0,0,19,0,0
4276,10,5,0,0,0,5,0,0
4278,15,18,0,0,0,18,0,0
4279,18,20,0,0,0,20,0,0
4280,6,5,0,0,0,5,0,0
4281,7,6,0,0,0,6,0,0
4282,10,9,0,0,0,9,0,0
4283,6,5,0,0,0,5,0,0
4284,10,12,0,0,0,12,0,0
4285,10,9,0,0,0,9,0,0
4452,13,12,0,0,0,12,0,0
4286,19,17,0,0,0,17,0,0
4287,10,8,0,0,0,8,0,0
4288,24,31,0,0,0,31,0,0
4294,11,10,0,0,0,10,0,0
4295,7,7,0,0,0,7,0,0
4297,9,10,0,0,0,10,0,0
4298,7,6,0,0,0,6,0,0
4299,11,9,0,0,0,9,0,0
4301,14,12,0,0,0,12,0,0
4302,10,9,0,0,0,9,0,0
4303,22,29,0,0,0,29,0,0
4304,13,12,0,0,0,12,0,0
4308,24,24,0,0,0,24,0,0
4309,10,10,0,0,0,10,0,0
4310,16,22,0,0,0,22,0,0
4311,16,19,0,0,0,19,0,0
4315,14,15,0,0,0,15,0,0
4316,10,10,0,0,0,10,0,0
4320,11,10,0,0,0,10,0,0
4323,6,5,0,0,0,5,0,0
4327,13,7,0,0,0,7,0,0
