i,j
1,2
6,2
7,2
12,2
14,2
15,2
16,2
18,2
21,2
24,2
25,2
30,2
32,2
34,2
39,2
44,2
51,2
1,3
6,3
7,3
14,3
16,3
18,3
20,3
21,3
1,4
7,4
16,4
18,4
21,4
24,4
26,4
30,4
32,4
43,4
50,4
1,5
7,5
16,5
18,5
20,5
21,5
24,5
28,5
29,5
30,5
32,5
40,5
41,5
44,5
46,5
50,5
57,5
7,8
20,8
21,8
24,8
29,8
40,8
42,8
7,9
18,9
32,9
40,9
43,9
50,9
7,10
41,10
51,10
7,11
20,11
21,11
36,11
47,11
12,13
16,13
18,13
33,13
35,13
40,13
42,13
16,17
18,17
25,17
39,17
40,17
42,17
43,17
47,17
18,19
38,19
21,22
31,22
36,22
45,22
58,22
21,23
31,23
40,23
45,23
47,23
26,27
56,27
36,37
48,49
52,53
54,55
